"ツイートID","ツイートの固定リンク","ツイート本文","時間","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォロー中","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォロー中","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント"
"800144033376935936","https://twitter.com/nandaka_furari/status/800144033376935936","@koumiyanaru @liyonyon でも石平さんて民進党（民主党）が中国に議員団送ったときはそれをさして朝貢だと非難しそうなイメージだし実際どう思っていたのか気になりますね。まあ石平さんも民進党とか韓国が気に食わないとかばかりなので自戒を込めてのものでしょうかね。","2016-11-20 01:09 +0000","252.0","10.0","0.03968253968253968","0.0","0.0","0.0","5.0","0.0","0.0","5.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"799987148640292864","https://twitter.com/nandaka_furari/status/799987148640292864","2-6は片側から攻略か。回復薬はどのくらい使ったんだろう。
https://t.co/yzzWGNjbKX","2016-11-19 14:46 +0000","42.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"799981962999963648","https://twitter.com/nandaka_furari/status/799981962999963648","というのも天上編だと盾がレベルアップすると物防と魔防が1上がるのでこれが地上編でもそうなのか試してみたい。もしそうならユニットのレベルアップと比べて確実に防御の強化ができるし、色々な展開にも対応できるんじゃないかという展望が開けると考えている。","2016-11-19 14:25 +0000","56.0","2.0","0.03571428571428571","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"799981110562156544","https://twitter.com/nandaka_furari/status/799981110562156544","あまりダメージを与えないでとどめを刺させた場合より経験値が入ったのでそれは本当だけど、具体的にどう経験値になるのかは分からない。でもまあなるべくアスクレピオスやダグダには攻撃参加させる方向で行く。で、盾の使い道なんだけどこれはティルフィングに持たせてやっていきたい。（続く）","2016-11-19 14:22 +0000","61.0","1.0","0.01639344262295082","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"799980431953145856","https://twitter.com/nandaka_furari/status/799980431953145856","ファンキル地上編、オープニングをクリアして1、2話をクリア。この時点でユニット4とミスリル盾が手に入ったわけだけど、ここからちょっと工夫していきたい。まず経験値は与えたダメージ分も経験値に入るらしいので試してみたけど、アスクレピオスにそこそこ攻撃させて当てさせてみたら、（続く）","2016-11-19 14:19 +0000","260.0","4.0","0.015384615384615385","0.0","1.0","0.0","1.0","0.0","0.0","1.0","1.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"799902826403012608","https://twitter.com/nandaka_furari/status/799902826403012608","ゴキブリのキモさって動きの速さに比例するのではと思った。家のやつも動きがのっそりだったらまだな…。/戦士か恋人か、戦略「選ぶ」ゴキブリを発見 | ナショナルジオグラフィック日本版サイト https://t.co/xQCfPrp0li","2016-11-19 09:11 +0000","42.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"799900344603971584","https://twitter.com/nandaka_furari/status/799900344603971584","ふむ、乗り遅れたがこれはぜひとも実行してもらわねば。 https://t.co/x1rCbz80A8","2016-11-19 09:01 +0000","30.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"799893935896150016","https://twitter.com/nandaka_furari/status/799893935896150016","いちいち調べてもないけど、案の定トランプ政権は今後がかなり不安な感じだな。それでもなぜかドル高になっているみたいだけど、金融とかはやはりまったくわからん世界だな。","2016-11-19 08:35 +0000","46.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"799892402458673152","https://twitter.com/nandaka_furari/status/799892402458673152","安住氏はその訪中も朝貢のようなものと思っていた可能性はあると思うけど。かといって確認しようもないかな。 https://t.co/aVM27jaBsj","2016-11-19 08:29 +0000","41.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"799882291153551360","https://twitter.com/nandaka_furari/status/799882291153551360","リプや引用TWするときは相手が実名か匿名か判断する。で、こっちが実名のときでも言える内容かどうか考える。いつもではないけど。 #Twitterで気をつけていること","2016-11-19 07:49 +0000","116.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"799607713470627840","https://twitter.com/nandaka_furari/status/799607713470627840","今日は早めに寝るかな。疲れがたまっている気がする。","2016-11-18 13:38 +0000","33.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"799602893498171392","https://twitter.com/nandaka_furari/status/799602893498171392","あるような、ないような。できれば「市」をつけてほしい場合てのは若干あるかなー。 https://t.co/wwgfeZZ8y2","2016-11-18 13:19 +0000","38.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"799593978651758592","https://twitter.com/nandaka_furari/status/799593978651758592","ファンキル地上編はリセットしてみたが、またダラダラやっても行き詰まりそうなので攻略動画を参考にしながら戦略を考える感じで行きたい。ティルフィング無双だとすいすい行きやすいみたいだけどそれじゃ味気ないように思うので違うやり方を探りたい。","2016-11-18 12:43 +0000","175.0","7.0","0.04","0.0","0.0","0.0","2.0","0.0","0.0","5.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"799591156824743937","https://twitter.com/nandaka_furari/status/799591156824743937","あまり金にならないのに続けられるのは巨大企業だからこそというのもあるだろうけど、バッサリ切るサービスもあったり、残すのと残さないのとの差は利用者が多いかどうかが重要点なんだろか。","2016-11-18 12:32 +0000","28.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"799574204609753089","https://twitter.com/nandaka_furari/status/799574204609753089","@nandaka_furari 名古屋であった事件だ。あやふやな記憶で名古屋で検索してみたら出てきた。覚えてるもんだな。","2016-11-18 11:25 +0000","17.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"799573073066213377","https://twitter.com/nandaka_furari/status/799573073066213377","昔、どこだったか「いじめ」で何千万の恐喝事件があったと記憶しているけど、何年前の事だったかな。十年以上前だったような。","2016-11-18 11:20 +0000","31.0","2.0","0.06451612903225806","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"799549598553542659","https://twitter.com/nandaka_furari/status/799549598553542659","スマフォゲーム、バッテリー食い過ぎでどう見てもスマフォ向きじゃないみたいのもあるけど、パソコンで動くようになる日は来るか。","2016-11-18 09:47 +0000","31.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"799548428179140608","https://twitter.com/nandaka_furari/status/799548428179140608","この法案でどう変わるのかな。 https://t.co/eqMOcsvJDJ","2016-11-18 09:42 +0000","22.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"799235423989952512","https://twitter.com/nandaka_furari/status/799235423989952512","はちま カオスサーガ か。
もしかしてまだ終わらないのか…？","2016-11-17 12:59 +0000","395.0","1.0","0.002531645569620253","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"799178751674191872","https://twitter.com/nandaka_furari/status/799178751674191872","モーメントの使われ方は少しずつ分かってきたが個人的には縁がなさそう。","2016-11-17 09:13 +0000","18.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"799167607836319744","https://twitter.com/nandaka_furari/status/799167607836319744","これも時代か。","2016-11-17 08:29 +0000","16.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"799092049727275008","https://twitter.com/nandaka_furari/status/799092049727275008","台詞にテンプレでもあるのか？","2016-11-17 03:29 +0000","23.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"799091839114412032","https://twitter.com/nandaka_furari/status/799091839114412032",".@zundokobe さんのコメント「まとめタイトルでもう耐えられない」にいいね！しました。 https://t.co/usm7qGSB6o","2016-11-17 03:28 +0000","32.0","1.0","0.03125","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"799091759573704709","https://twitter.com/nandaka_furari/status/799091759573704709",".@egmvd さんの「カオスサーガ終了を悲しむ古参プレイヤー達」をお気に入りにしました。 https://t.co/IjGRcL226P","2016-11-17 03:28 +0000","87.0","3.0","0.034482758620689655","0.0","1.0","0.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"798898476604002304","https://twitter.com/nandaka_furari/status/798898476604002304","ソーシャルゲームの定義ってなんだろ。","2016-11-16 14:40 +0000","28.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"798875845330804737","https://twitter.com/nandaka_furari/status/798875845330804737","スマフォのMMORPGもあるみたいだけど、どんな感じなんやろな。試しに何かやってみるかな。","2016-11-16 13:10 +0000","26.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"798874875855130624","https://twitter.com/nandaka_furari/status/798874875855130624","カオスサーガってMMORPGみたいな感じなんだろうか？","2016-11-16 13:06 +0000","128.0","1.0","0.0078125","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"798872825935208448","https://twitter.com/nandaka_furari/status/798872825935208448","@nandaka_furari でも、中国では相変わらず稼働しているらしいしまだまだ終わらない…？","2016-11-16 12:58 +0000","13.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
